S211    ,0.147,0.456,0.398,0.33,0.645,0.025,0,0.027,0.973,0,0.016,0.984,0.001,0.031,0.968,0,0.002,0.998,0.073,0.599,0.328,0,0.01,0.99
S212    ,0.006,0.141,0.852,0.385,0.6,0.015,0.007,0.168,0.825,0.001,0.034,0.965,0.003,0.061,0.936,0,0.009,0.991,0.077,0.597,0.326,0,0.01,0.99
S214    ,0.003,0.102,0.894,0.212,0.732,0.056,0.004,0.123,0.874,0.105,0.329,0.567,0.012,0.135,0.853,0,0.129,0.871,0.289,0.591,0.12,0.001,0.04,0.959
S215    ,0.569,0.369,0.062,0.998,0.002,0,0.327,0.487,0.186,0.081,0.422,0.497,0.091,0.39,0.519,0.762,0.237,0.001,0.998,0.002,0,0.775,0.209,0.015
S217    ,0.002,0.078,0.92,0.386,0.588,0.026,0.001,0.061,0.938,0.06,0.283,0.657,0.014,0.148,0.838,0.002,0.362,0.636,0.618,0.356,0.027,0,0.028,0.971
S218    ,0.27,0.502,0.228,0.673,0.313,0.014,0.059,0.389,0.551,0.016,0.213,0.771,0.01,0.156,0.834,0.114,0.837,0.05,0.963,0.036,0.001,0.776,0.209,0.015
S220    ,0.059,0.374,0.566,0.9,0.097,0.003,0.317,0.489,0.195,0.003,0.113,0.884,0.102,0.38,0.517,0.581,0.415,0.005,0.988,0.012,0,0.504,0.406,0.091
S221    ,0.13,0.459,0.41,0.764,0.232,0.004,0.007,0.158,0.835,0.036,0.258,0.706,0.042,0.267,0.691,0.026,0.604,0.369,0.613,0.333,0.054,0.018,0.218,0.763
S223    ,0.008,0.15,0.842,0.04,0.758,0.203,0.001,0.055,0.944,0,0.016,0.984,0.002,0.05,0.948,0,0.01,0.99,0.022,0.403,0.575,0,0.01,0.99
S228    ,0.002,0.072,0.926,0.676,0.321,0.003,0.042,0.322,0.636,0,0.011,0.989,0.001,0.041,0.958,0,0.123,0.877,0.286,0.594,0.121,0,0.016,0.984
