"SubjID","AltID","Classroom","Gender","Race","Level_Code","pre_scaled","post_scaled","gain_scaled","Form_Order","PreACorr","PostBCorr","PreBCorr","PostACorr","PreScore","PostScore","Gain","preacorr_adj","postbcorr_adj","prebcorr_adj","postacorr_adj","Zpreacorr_adj","Zpostbcorr_adj","Zprebcorr_adj","Zpostacorr_adj","scale_prea","scale_preb","scale_posta","scale_postb","Flagged","Last_Row","Gain_again","Cond_code","Sequencing","Feedback"
"S259","s11-14","c11","Male","2","Academic",61,78,17,1,12,19,NA,NA,12,19,7,12,17,NA,NA,1.12,1.99,NA,NA,61,NA,NA,78,FALSE,62,7,"adaptive_full","Adaptive","Full"
"S260","s11-01","c11","Female","7","Academic",57,64,7,2,NA,NA,12,13,12,13,1,NA,NA,10,13,NA,NA,0.71,0.85,NA,57,64,NA,FALSE,NA,1,"linear_full","Linear","Full"
"S261","s11-10","c11","Female","7","Academic",53,45,-8,1,9,6,NA,NA,9,6,-3,9,6,NA,NA,0.27,-0.74,NA,NA,53,NA,NA,45,FALSE,62,-3,"adaptive_acc","Adaptive","Accuracy"
"S262","s11-11","c11","Female","7","Academic",51,56,5,2,NA,NA,9,10,9,10,1,NA,NA,8,10,NA,NA,0.11,0.04,NA,51,56,NA,FALSE,62,1,"adaptive_full","Adaptive","Full"
"S263","s11-06","c11","Male","2","Academic",58,54,-4,1,11,9,NA,NA,11,9,-2,11,9,NA,NA,0.84,0,NA,NA,58,NA,NA,54,FALSE,NA,-2,"linear_full","Linear","Full"
"S269","s12-13","c12","Male","6","ELL",36,39,3,1,3,4,NA,NA,3,4,1,3,4,NA,NA,-1.42,-1.24,NA,NA,36,NA,NA,39,FALSE,38,1,"adaptive_acc","Adaptive","Accuracy"
"S270","s12-12","c12","Female","6","ELL",27,39,12,2,NA,NA,0,4,0,4,4,NA,NA,0,4,NA,NA,-2.29,-1.59,NA,27,39,NA,FALSE,34,4,"adaptive_full","Adaptive","Full"
"S271","s12-16","c12","Female","6","ELL",33,36,3,1,2,3,NA,NA,2,3,1,2,3,NA,NA,-1.71,-1.49,NA,NA,33,NA,NA,36,FALSE,NA,1,"linear_full","Linear","Full"
"S272","s12-05","c12","Male","6","ELL",30,44,14,2,NA,NA,1,7,1,7,6,NA,NA,1,6,NA,NA,-1.99,-1.05,NA,30,44,NA,FALSE,30,6,"adaptive_acc","Adaptive","Accuracy"
"S273","s12-03","c12","Male","6","ELL",33,39,6,1,2,4,NA,NA,2,4,2,2,4,NA,NA,-1.71,-1.24,NA,NA,33,NA,NA,39,FALSE,62,2,"adaptive_full","Adaptive","Full"
"S274","s12-06","c12","Female","6","ELL",36,39,3,2,NA,NA,3,5,3,5,2,NA,NA,3,4,NA,NA,-1.39,-1.59,NA,36,39,NA,FALSE,NA,2,"linear_full","Linear","Full"
